Municipio;Codigo;Total2020 (ha);Algodão herbáceo (em caroço);Alho;Amendoim (em casca);Arroz (em casca);Aveia (em grão);Batatadoce;Batatainglesa;Canadeaçúcar;Cana para forragem;Cebola;Centeio (em grão);Cevada (em grão);Ervilha (em grão);Fava (em grão);Feijão (em grão);Fumo (em folha);Girassol (em grão);Juta (fibra);Linho (semente);Malva (fibra);Mamona (baga);Mandioca;Melancia;Melão;Milho (em grão);Rami (fibra);Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão)
São Paulo ;3550308;36;0;0;0;0;0;0;0;10;0;0;0;0;0;0;21;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
São Pedro ;3550407;12408;0;0;0;0;0;0;0;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;24;4;0;280;0;100;0;0;0
São Pedro do Turvo ;3550506;27820;0;0;466;0;527;0;0;7888;0;0;0;0;0;0;90;0;0;0;0;0;0;1700;500;0;6307;0;8263;2070;9;0
São Roque ;3550605;1587;0;2;0;0;0;5;0;30;0;25;0;0;0;0;120;0;0;0;0;0;0;50;0;0;620;0;600;0;5;0
São Sebastião ;3550704;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
São Sebastião da Grama ;3550803;620;0;0;0;0;0;0;0;400;0;10;0;0;0;0;10;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0
São Simão ;3550902;30192;0;0;0;0;0;0;0;30103;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;70;0;0;0;13;0
São Vicente ;3551009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sarapuí ;3551108;3229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;0;0;0;0;0;0;180;200;0;1550;0;800;0;24;0
Sarutaiá ;3551207;4450;0;0;0;0;0;0;0;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1550;0;1900;0;0;0
Sebastianópolis do Sul ;3551306;10290;0;0;60;0;0;0;0;9700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;220;0;10;0
Serra Azul ;3551405;16975;0;0;150;0;0;0;0;15955;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;10;0;800;0;0;0
Serrana ;3551603;7792;0;0;200;0;0;0;0;7192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;200;0;0;0
Serra Negra ;3551504;727;0;0;0;0;0;0;0;30;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;350;0;280;0;32;0
Sertãozinho ;3551702;29940;0;0;1600;0;0;0;0;27500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;600;0;0;0
Sete Barras ;3551801;365;0;0;0;240;0;2;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;60;0;0;50;0;0;0;0;0
Severínia ;3551900;7100;0;0;100;0;0;0;0;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;200;0;0;0
Silveiras ;3552007;59;0;0;0;0;0;0;0;10;0;0;0;0;0;0;8;0;0;0;0;0;0;20;0;0;20;0;0;0;1;0
Socorro ;3552106;3448;0;0;0;3;0;10;210;300;0;0;0;0;0;0;300;0;0;0;0;0;0;20;0;0;1950;0;630;0;25;0
Sorocaba ;3552205;1421;0;0;0;0;0;0;0;242;0;0;0;0;0;0;102;0;0;0;0;0;0;60;0;0;512;0;500;0;5;0
Sud Mennucci ;3552304;21881;0;0;0;0;0;0;0;14275;0;0;0;0;0;0;3267;0;0;0;0;0;0;4;0;0;1291;0;2558;485;0;0
Sumaré ;3552403;3080;0;0;0;0;0;0;0;1400;0;0;0;0;0;0;0;0;250;0;0;0;0;30;0;0;400;0;600;0;400;0
Suzano ;3552551;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suzanápolis ;3552502;9995;0;0;0;0;0;0;0;8800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;710;235;0;0
Tabapuã ;3552601;19803;0;0;110;0;0;0;0;19268;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;20;0;400;0;0;0
Tabatinga ;3552700;19415;0;0;400;0;0;0;0;17900;0;0;0;0;0;0;0;0;20;0;0;0;0;0;150;0;410;0;520;0;9;0
Taboão da Serra ;3552809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taciba ;3552908;36607;0;0;100;0;0;0;0;18457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;9000;0;9000;0;0;0
Taguaí ;3553005;5820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;250;0;0;0;0;0;0;50;0;0;3500;0;1620;0;0;0
Taiaçu ;3553104;8237;0;0;450;0;0;2;0;7300;0;145;0;0;0;0;0;0;0;0;0;0;0;90;0;0;100;0;150;0;0;0
Taiúva ;3553203;8771;0;0;700;0;0;12;0;7700;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;130;0;80;0;7;0
Tambaú ;3553302;19155;0;0;100;0;0;0;140;17000;0;0;0;0;0;0;140;0;0;0;0;0;0;130;0;0;830;0;800;0;15;0
Tanabi ;3553401;27350;0;0;1000;0;0;0;0;24000;0;0;0;0;0;0;0;0;0;0;0;0;0;45;20;0;1100;0;1150;0;5;0
Tapiraí ;3553500;40;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tapiratiba ;3553609;5142;0;0;0;0;0;0;0;4000;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;300;0;700;0;2;0
Taquaral ;3553658;2255;0;0;25;0;0;0;0;2180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0
Taquaritinga ;3553708;33275;0;0;1700;0;0;20;0;28900;0;110;0;0;0;0;0;0;0;0;0;0;0;120;0;0;1000;0;1400;0;25;0
Taquarituba ;3553807;41201;150;0;0;0;0;0;58;300;0;0;0;266;0;0;2318;0;0;0;0;0;0;14;0;0;7030;0;20400;2000;0;0
Taquarivaí ;3553856;20227;0;0;0;0;0;50;900;0;0;1;0;0;0;0;1000;0;0;0;0;0;0;5;1;0;5000;0;9000;500;130;0
Tarabai ;3553906;5243;0;0;0;0;0;90;0;4893;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;120;0;100;0;0;0
Tarumã ;3553955;25018;0;0;0;0;45;0;0;17769;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;3100;0;4100;0;0;0
Tatuí ;3554003;18640;0;0;0;0;0;0;100;9850;0;0;0;0;0;0;300;0;0;0;0;0;0;135;10;0;5200;0;3000;40;5;0
Taubaté ;3554102;2805;0;0;0;280;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;44;0;0;196;0;2000;0;0;0
Tejupá ;3554201;7430;0;0;0;0;500;0;0;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;780;0;3000;1500;0;0
Teodoro Sampaio ;3554300;36825;0;0;1306;0;0;0;0;29182;0;0;0;0;0;0;0;0;0;0;0;0;0;3843;0;0;1069;0;1425;0;0;0
Terra Roxa ;3554409;16800;0;0;200;0;0;0;0;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;1500;0;0;0
Tietê ;3554508;17183;0;0;0;0;0;0;0;14600;0;0;0;0;0;0;70;3;0;0;0;0;0;0;0;0;2500;0;0;0;10;0
Timburi ;3554607;996;0;0;0;0;96;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;670;0;0;0
Torre de Pedra ;3554656;9;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Torrinha ;3554706;7825;0;0;0;0;0;0;0;6100;0;0;0;0;0;0;0;0;25;0;0;0;0;80;0;0;620;0;1000;0;0;0
Trabiju ;3554755;2515;0;0;50;0;0;0;0;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;35;0;0;0
Tremembé ;3554805;1244;0;0;0;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;200;0;90;0;0;0
Três Fronteiras ;3554904;1349;0;0;0;0;0;0;0;1100;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;200;0;20;0;0;0
Tuiuti ;3554953;1825;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;1800;0;0;0;5;0
Tupã ;3555000;18047;0;0;5200;0;0;35;0;7810;0;0;0;0;0;0;10;0;0;0;0;0;0;2480;100;0;1550;0;850;0;12;0
Tupi Paulista ;3555109;8504;0;0;60;0;0;27;0;8200;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;30;0;150;0;7;0
Turiúba ;3555208;5230;0;0;0;0;0;0;0;4706;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82;0;441;0;0;0
Turmalina ;3555307;5330;0;0;0;0;0;0;0;4930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400;0;0;0;0;0
Ubarana ;3555356;14202;0;0;600;0;0;0;0;12900;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;200;0;500;0;0;0
Ubatuba ;3555406;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0
Ubirajara ;3555505;1949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;780;0;0;400;0;660;0;15;0
Uchoa ;3555604;14358;0;0;0;0;0;0;0;14000;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;250;0;58;0;0;0
União Paulista ;3555703;4334;0;0;200;0;0;0;0;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;180;0;350;0;4;0
Urânia ;3555802;3460;0;0;0;0;0;0;0;3330;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;100;0;0;0;15;0
Uru ;3555901;5078;0;0;121;0;0;0;0;4798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;60;0;0;0;0;0
Urupês ;3556008;18762;0;0;300;0;0;0;0;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;200;0;250;2;0;0
Valentim Gentil ;3556107;4333;0;0;0;0;0;0;0;4300;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;30;0;0;0;1;0
Valinhos ;3556206;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;30;0;0;0;1;0
Valparaíso ;3556305;59949;0;0;430;0;0;0;0;59100;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;380;0;0;0;0;0
Vargem ;3556354;1451;0;0;0;0;150;0;5;0;0;0;0;0;0;0;20;0;0;0;0;0;0;15;0;0;750;0;320;0;11;0
Vargem Grande do Sul ;3556404;11868;0;0;0;0;0;74;0;7020;0;120;0;0;0;0;500;0;0;0;0;0;0;14;0;0;3300;0;800;0;40;0
Vargem Grande Paulista ;3556453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Várzea Paulista ;3556503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vera Cruz ;3556602;258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;250;0;0;0;0;0
Vinhedo ;3556701;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;0;30;0;0;0;3;0
Viradouro ;3556800;16458;0;0;0;0;0;0;0;14800;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;150;0;1500;0;0;0
Vista Alegre do Alto ;3556909;4364;0;0;200;0;0;0;0;3965;0;47;0;0;0;0;0;0;0;0;0;0;0;52;0;0;100;0;0;0;0;0
Vitória Brasil ;3556958;513;0;0;0;0;0;0;0;350;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;40;0;120;0;0;0
Votorantim ;3557006;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;430;0;405;0;0;0
Votuporanga ;3557105;12640;0;0;0;0;0;0;0;12100;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;200;0;300;0;0;0
Zacarias ;3557154;9666;0;0;400;0;0;0;0;8000;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;680;0;500;50;0;0
Chavantes ;3557204;14088;0;0;0;0;0;0;0;9504;0;0;0;0;0;0;37;0;0;0;0;0;0;20;0;0;2098;0;2419;10;0;0
Estiva Gerbi ;3557303;1060;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;200;0;60;0
